Address,Balance
0x0765de5c4d9db08712255925d2cc84eeb94f3449,375.77
0x256df393a5c174829a58a654cb1e62727339d994,366.98
0x0e6c4af64e141ed52e3082dd4fd47416ea4f321b,366.15
0x99ed04c212dd3929e9063bd78b26ef41858cb62c,359.75
0xffd3da76203642d4ee112893f33749a0df7ea7fd,350.54
0x840647cb127112d0edb9e6c3ce8e0c083b99516a,333.94
0xa144615463e217408bf79d1e9162a70e925118cc,329.41
0xd801e8d85d963b249c4408e67e3fdf472f0b377d,313.14
0xb21731d830b7e8460e5d6c66dc1ccc0a5d0a6b87,305.65
0xf1b98463d6574c998f03e6edf6d7b4e5f917f915,305.10
0x8f4973646c18059fda3672d7b7dd505e911b40d8,302.76
0x720f01daab0b5e159387dff1cbfd4cbe5ce6238a,296.21
0x35119741d2d3c40fcd456a93860f68c1754a4f56,286.81
0xbf3450be50a88ecfced28b3ef1f61976ce41115d,281.07
0xda62a71c858e5583b0ee730c8721b90584b9b2ed,280.10
0xfb74196eccf35a260dd5cfd300baa37ae058b6c0,278.14
0x13c31d43bb05ec526fc41440b17a06872882e172,276.03
0x501c55d242422811440b6866c7d9a7e74a73bcd7,261.92
0xb2eef2dd33a58c0dd3f2ad9390a13533bfd23cd4,261.54
0x9d416c385faf17a6f134090438b27d848fff544c,260.33
0xcb0180f0345e81b84b6be10019e5776f4f89be45,247.78
0xa8e32be4ca13b271673f8b01f1eeacfde66fa413,247.43
0x6d6239f3e39fba103480a2926477330ae02c0e60,245.89
0x0f9548165c4960624debb7e38b504e9fd524d6af,243.46
0x7893cbc9e89245e0470fe3ce9bb8bc3fb0bf27c3,240.50
0x4b3897e40749587ffbfb2732008d026db2c8d588,239.99
0xe1bcdc60abde7f6549d6172f07f3e83f2caddf6b,238.10
0x97f50db35bd0700abbfb6c058987fea18bafb6a1,232.54
0xf13fd4951485f54462de0fb534851d9687d1adea,230.05
0x4c55adf88fe327befba5dd15000b039b818f365f,226.84
0x853054857d755c6d1605e003c8495be0407476ab,213.63
0xe335ea94352a4d9280aef9232b3762c5234380d6,211.41
0xfaeaad01421b3acfd3bdcbface76d5038f4ce665,209.92
0xf09945cb20a7ead56f270a428cfb9d55ccc76ed5,204.37
0xfc7c1d00b2ec6d3653e9de72590684456846c53d,204.13
0xc9f40ddb6b288bd3539ad35cbfae86883c6a0bad,203.00
0x2e37c3d5d5c1224903a05f614545217f1c7dd1d4,196.03
0x20a75d13cc7e7bde1534252f06a4578de8d70953,195.67
0x17114903eb90909d3058dae24d583e5970030ffb,194.56
0x6264f0edba804a5b2d9d35fb8dc4dc9eb09be576,192.77
0xc5afc3a0f462c5a387393421b6a253204a3be8d2,192.38
0xe073182d644ebb5290cfa6915ba94312fc73a679,190.33
0xcea912b3582dd135e415747121800f6ef60a0251,187.83
0x11ef8f3f57b7c2a317a420854cecdd8a88f6cb64,186.67
0x3351b913d9b37abbbfc057224aa38547f485cbed,183.28
0xbbc25274b5b8bb6507b3078e38b56d8901fc4102,181.69
0xb957dccaa1ccfb1eb78b495b499801d591d8a403,180.95
0x3efec9925973afe87cbfe219dfe31fbba4266369,180.31
0xe5f392062aa17539b946d96694422c4dae77cf07,179.77
0x150fb0cfa5bf3d4023ba198c725b6dcbc1577f21,171.55
0x81a0fd559573c89c8a65d4de2c65607784e6e43e,170.80
0x4f517f2d959478cf4a4cf68c5db2be4c5cf8bdd0,167.80
0xbec2027dd208e21e8d25821506562aa658c0ebd0,165.16
0x480c44abb0b8b4f1d3bbf7b8eb4eac47708a5ec3,163.99
0xd48a206697ba7dd8641f97060b2ac74a252be092,160.98
0xd27d90b337717fd91c4d409f712b890d4ee2fdd6,156.73
0x78eeaff0e960649ff2e727d10131157d142c04ad,156.11
0xc0120285145570670ae63c0fd736d63c02468c45,154.50
0xfebc300c1a955a30870282e1b1aa3eaca7196c98,154.14
0x03251d96e86c521d2eaebc3c2aba7ed8a2941188,151.68
0x60959ed8307ee2b0d04306f6b319aeee8864f1ee,149.86
0xf6657bbcfeb5c2746e8c609e35018a5a8caa13fb,148.60
0xb730ac6a34d9861cd57f053f1bf05f759973ded2,147.01
0xaab9a756fc7587324d8c34b8702b35129de6f0ee,138.86
0x3f7c10cbbb1ea1046a80b738b9eaf3217410c7f6,137.85
0x7d9907f35d4d77661571c7bef5244e4e2aa460d8,135.20
0xcf694b3f84cab6f9dde1450a8fbbec63e6dee384,128.36
0x2908a0379cbafe2e8e523f735717447579fc3c37,127.16
0x7a505df95aac78f142ca98cecd771d3c398b4b71,125.44
0x6acafd94e1a4348ae82931be77733d2066dd6ba9,120.78
0xf9bf898bf2f41ade970d9ff718d6027a217c491c,117.65
0x7e7b43800d7926f94613562c832dfc25ac9c2181,116.37
0x99daaf637e697c53afaa67d6ff27e336db925812,116.07
0xb2285bc9703b4b20a13d9960ad93e10cff9c3e4c,112.56
0xa6af4f5567bffd27243f403a6f8244dd6a06eacd,112.39
0x42ce7455c01207c177326ee6a5e2dac00ea0f44d,109.70
0xbbedafd5f399be88dac7222ce1caa9dd7cfd7481,107.93
0x0f08cc0e2e3ba303ee152326a1fa677d7ca30b4c,107.79
0x959bc1bec9ebb00db92049ffe15441edc09451fd,105.79
0xcb3b366ced5ab2170d2ac72a5a97c4747e9186d8,105.11
0x8092b1c179a87eba3b4733d93158422db6a75f57,104.68
0x13908d3fab410220fcc549353e34bd29f7f6d308,104.23
0x3f7c78040e7c37313b1052d635cb2f135cf78c97,104.16
0x8e29a644a71b1c9cac1c46a5d9099d17301c08f4,102.83
0x68e73302843919ea45123f11f7fc7174b7c7acaa,101.60
0xb65d18b91d401224dcf2b072d30c29bc8398463c,101.17
0xf1a77a3365555c3859b2c4f81ee4daab2f335b94,99.03
0x4d00af255c2886da69287c6fadf059ac874e1933,98.57
0x7b1426d5c26fde907718f8ebb9d7aac2f3528ddc,97.69
0x287d2974af3a369e9bd42ef5636b5d1fda13a35a,96.24
0xd16d73421d4e7d42a1d98b651c88a47a4ec69c94,96.23
0x8ed57576e9219b2c6b966f966ba8dab65444e443,96.12
0x17183d38341924ec9c1fdf235e17c67fe339f897,95.76
0xc6e87adf4133cc61cacda134e79c243de9db3e69,95.71
0x7cc1a622fecead4a1c9939031a262858bbcab0ed,93.75
0x098892e04cc91029909c0fbd4be059f5977b4dc7,92.38
0xeb7dc72798ec3d5c967be19ad5608a90ae2bd098,91.71
0x7e52082fd8ca9025e7e2c4da3fc7c4fef9fd9706,90.29
0x1ff7662f7d45210781e803625b1d74fea9099beb,89.43
0xcc3fd391414bf8f902726d465d2286ffdff91794,88.14
0xffabcee5cd4cebf47c529d9eed1111cbbb525b35,88.10
0xcb02f8bff3be1cfa9411c0896c5ffcb660ce8418,87.44
0x94534412c17f2e58c85ff2d2ecb98a6cb79bbde3,86.70
0x3e2a0370353c203a31cdd6bdaa3855e7a21ef673,86.66
0xcd36bc1016a7619d32458ca49650f92d82c4b3c5,86.60
0x749f90c2f42f7184a018ce3743c413bfe4f316ac,86.34
0x210d15947c855df5618cc3f91ad9eef4c18c03a0,84.77
0xe49806f5be7f3101843ac8af91a6aa47ecc0ef36,84.39
0x225509847509f66c9bd49cda9714f481a3a6200e,83.71
0x868cbfd33ec93b451c510125e4d9f1ab1e42fcd2,82.11
0x3888132606615fc0759853b6ec1107e717d0ae52,81.18
0x842b1275c0709bc1cc0c6a91436fd41d7539adb5,81.09
0x413db04a4d7207cae7a7686639ce68caac137bae,80.52
0xc43cc75131443865dc84a000a38baba53fe00e69,80.00
0xeed444b34f69d5c57a9d5f2fadfd61941c8158db,78.94
0x79c4213a328e3b4f1d87b4953c14759399db25e2,78.32
0xe38b04f851a6fda5493b80fcce48d3941af61dea,77.58
0x4644dec630abcee2f4d3c94ba03c366960ea334b,76.28
0x3d1d397acd3b0989d9e633d6dbf7e6f8f5c03a2d,75.25
