ChainId,Address,Balance
42161,0x167d87a906da361a10061fe42bbe89451c2ee584,50942.23
42161,0x0a3043f9d2b1c6ccfc492eb59af5156f378c57bd,42027.62
42161,0x6e74053a3798e0fc9a9775f7995316b27f21c4d2,39470.78
42161,0xec092c15e8d5a48a77cde36827f8e228ce39471a,29995.02
42161,0x0000008650dabd27ffad2d6ca7a1f6fe8a16f557,11986.60
42161,0x380ba929de57d8f74b418f0c90d0d1cb19df914c,5331.39
42161,0x9772fedc43123a6efbd1965617d0e079de2689e4,4993.69
42161,0x4127143a866bf5d8ad2afb6de8e63164b8ad5bf6,4745.84
42161,0xe61d9ed1e5dc261d1e90a99304fadcef2c76fd10,4678.03
42161,0xe45218b20ce500cd132bc6312f291827f3d6db32,4307.69
42161,0x6ae098a5035a885a1e564fc859093fd67fa5e603,4278.15
42161,0x7ecf3629e27b410d6a277cdca9c99240706eebec,4174.02
42161,0xa947820e1e4a0af5a46784e63cc3e2fc7d155f36,4173.57
42161,0x891c16d225e4fd30d0874bf2e139b0c11a459a07,3223.77
42161,0x13ae1730eaddd8dab80393c570af0a01629708e3,3008.67
42161,0x00481898361901f3e49bfe3e40872d09e93c2c11,2988.26
42161,0x104b9e2e3071ec859839b301ed4a8de594bff2c5,2743.93
42161,0x3f32a16b1f32f438ccec5e9f2302b3aab6ed21f8,2639.54
42161,0xbe2f0354d970265bfc36d383af77f72736b81b54,2617.98
42161,0xd1a0b66835d830e9ada42eef436f3aa8005b20b5,2461.54
42161,0x011b0a055e02425461a1ae95b30f483c4ff05be7,2314.70
42161,0x2a0df2e096d378d3d4149539f4eff1a0a748af92,2148.77
42161,0x6e868846b2182235c16fd122fcd44739e55a58e4,2130.89
42161,0x73aa77b4ab6d6be9f5c5206393472a0e86081471,2038.40
42161,0xdb2b9d473014d8c6a5e55da92205199457ba6624,1994.14
42161,0xb3bfb32977cfd6200ab9537e3703e501d8381c9b,1965.32
42161,0xeb432905497d9ed2f0a8a9aac9053a0108746c1a,1923.65
42161,0xfcf80133cd4e8d79ddf8125a32980398a0b074d0,1734.52
42161,0xcafc58de1e6a071790efbb6b83b35397023e1544,1732.40
42161,0x6e81417b312917305d12f76fa3b6bd66ffaa75e7,1713.11
42161,0xf51e5a0a85d29aa0508894405d734bcf044dcb5b,1660.98
42161,0xd9486f1bec96fd08865314133e8cad8e4c1651bc,1647.68
42161,0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,1557.55
42161,0xc9c384a9e7e28f7ef55903eb90947fe3ce71d475,1471.77
42161,0x5839fa6e03aaf23b297162714c2bb0046770c626,1465.12
42161,0x926524a86c29b7c6b789257720b2c5d287faf942,1343.00
42161,0x56be39e75298210e53e4b371e456b988c7eade23,1330.09
42161,0xa7eef766b1f3f3d31a0c7c6ebd0b3f31e9a87634,1316.00
42161,0xafe6b977fcf3c634cdcd2b324b799b31fb69d708,1258.74
42161,0x8fb20c72139b2a971ab814503d61111349f8cc78,1223.95
42161,0xd71e74d3e67af428e3f3e86361b80f0e953e9c59,1192.94
42161,0x2bd84c7ebc87e51e0b48d775e2b1ff3c6ab12de2,1151.16
42161,0x7e108711771dfdb10743f016d46d75a9379ca043,1064.92
42161,0x37ebefeab5491ad7ec00eb79e288c809ed03e36e,888.39
42161,0x3995888a562bb9f82a580b8c3e94adc9d8e8436b,854.39
42161,0x9035b69186fca1a9a43d6d5aab62822ed666e6e0,818.67
42161,0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,781.78
42161,0x2b12c3c2dbfab467fa899114b4996f6bcb455c24,755.83
42161,0xa7f5858c96792899def93be4419c14732c9d9d69,726.52
42161,0x6c01ec9622e50799d62ca076f2e2aa34dc840d5b,721.08
42161,0xede763d548fce19ac779ab52b617b1c024646bff,666.17
42161,0x9ace991de0bd8f2e32a357024df85b40283319f2,663.95
42161,0x19fa4f4aec240b9abfaff346bece20e8bc1e1039,655.63
42161,0xdc6b5549763d893b01a41acf0d7d77ccb44f3417,652.91
42161,0xe21428de432217b6939b46ec02d218e87f96a1c2,648.84
42161,0xc74be054feb1d6dbb2a508fd2a401a87f36ca5d8,644.34
42161,0x0bda0f33311e65379461d0a555bbd7669c0eaa22,625.10
42161,0xa4bc8e08f7ba01043b2088040255036b57edaf91,621.99
42161,0x32b5ec49b7737f3e07c3ae52105802bf4dff10fd,611.23
42161,0x6b2c9f32438678c65d88f34b6b243dfcfe39385f,603.60
42161,0x83090029c7f7c50b2c365648161c2f9c36bc58bd,588.84
42161,0xb057d918d29eaf7fcabb54757e1112998f427489,573.75
42161,0x146eb7ba20c4bf9f57726c201d04a6c015d85408,550.06
42161,0x5891be896ed4a79ed928c55b17fbbecdb46f8a00,544.91
42161,0x3036e0773f612597c9802b6b1ab69e0cdc2963ac,526.99
42161,0x0a53765848ecb8ccd820781fc47c9c95bfcf3c36,521.02
42161,0x644f33e837aa372568ff11afffeff72acef7189b,517.48
42161,0xf1196bf726ed9227507f5a8b7c87ae177124db2b,514.21
42161,0x64df7af696e0977771a0e1e1b1a8dd22ded3cf4b,502.43
42161,0xf15d1cf4c76eec1815f85acafb1062697c69a72e,495.46
42161,0xd61015823b60a7c6e156c887a72467a8170259d2,484.05
42161,0x130e6d1a52b4577b3779f7cf50295d3b28e6a593,467.04
42161,0x95f670c3a9c80daa38ba2a4b1d91ccd9d2f0ace5,463.43
42161,0x868d9a5ee67ec78fe793f5a9ca045b89a7330452,460.19
42161,0x72cca842a7fb986cb81efcf168282ca78578f0da,436.04
42161,0x0cecb92b7a674f6e371f7339e3bfdc11418d1259,430.95
42161,0x2fcca9685b8b64637d1cb36e20c35b207e189f64,426.75
42161,0x0d2bab6899c0a058b0f3162f656660a2f41a7712,418.10
42161,0x842b1275c0709bc1cc0c6a91436fd41d7539adb5,397.68
42161,0xa84f4a753f9459fa64862cab91b260d7367dfd19,395.85
42161,0xbe026ae67432efa9ad85b897a70e0bab0dcb1cea,384.04
42161,0xafd7f0e8871e517daf1242574b65e147c254fbd3,384.01
42161,0x765ecc4089c216385d6b1d4dc1994ff012e73d39,382.16
42161,0x1a4e36ed47f0e919eec35d196c5cb1b8c69bd90e,380.22
42161,0xe6a6ee4196d361ec4f6d587c7ebe20c50667fb39,369.94
42161,0x5b355ffbf7218ea0c1e80d8a098956c0a1cf03c7,357.15
42161,0xa4debed6824a5e42de083271e96cb3c6f66d0d54,339.70
42161,0x58a0949a102beff8fc33ec809f54b00c54c45118,333.09
42161,0x64766f7fb8ccc99c5fdba54e2e968d1d244b83be,326.54
42161,0xab61660f93dffca32e3f526b20dad35332080a12,324.87
42161,0xf424dd28154ad4461d075e3374649a85b8362ed0,317.95
42161,0xd456af6c73c17b3fec6c336bcdf7c55227538902,317.08
42161,0x970397d4be2f6ee28fc5165aad5262808685d1c9,312.75
